Épisode 1/7000, Score: 147.0, Epsilon: 0.9950
Épisode 2/7000, Score: 189.0, Epsilon: 0.9900
Épisode 3/7000, Score: 189.0, Epsilon: 0.9851
Épisode 4/7000, Score: 231.0, Epsilon: 0.9801
Épisode 5/7000, Score: 105.0, Epsilon: 0.9752
Épisode 6/7000, Score: 231.0, Epsilon: 0.9704
Épisode 7/7000, Score: 189.0, Epsilon: 0.9655
Épisode 8/7000, Score: 189.0, Epsilon: 0.9607
Épisode 9/7000, Score: 189.0, Epsilon: 0.9559
Épisode 10/7000, Score: 168.0, Epsilon: 0.9511
Épisode 11/7000, Score: 357.0, Epsilon: 0.9464
Épisode 12/7000, Score: 315.0, Epsilon: 0.9416
Épisode 13/7000, Score: 189.0, Epsilon: 0.9369
Épisode 14/7000, Score: 147.0, Epsilon: 0.9322
Épisode 15/7000, Score: 126.0, Epsilon: 0.9276
Épisode 16/7000, Score: 231.0, Epsilon: 0.9229
Épisode 17/7000, Score: 126.0, Epsilon: 0.9183
Épisode 18/7000, Score: 231.0, Epsilon: 0.9137
Épisode 19/7000, Score: 294.0, Epsilon: 0.9092
Épisode 20/7000, Score: 189.0, Epsilon: 0.9046
Épisode 21/7000, Score: 231.0, Epsilon: 0.9001
Épisode 22/7000, Score: 294.0, Epsilon: 0.8956
Épisode 23/7000, Score: 189.0, Epsilon: 0.8911
Épisode 24/7000, Score: 168.0, Epsilon: 0.8867
Épisode 25/7000, Score: 357.0, Epsilon: 0.8822
Épisode 26/7000, Score: 252.0, Epsilon: 0.8778
Épisode 27/7000, Score: 336.0, Epsilon: 0.8734
Épisode 28/7000, Score: 231.0, Epsilon: 0.8691
Épisode 29/7000, Score: 168.0, Epsilon: 0.8647
Épisode 30/7000, Score: 315.0, Epsilon: 0.8604
Épisode 31/7000, Score: 294.0, Epsilon: 0.8561
Épisode 32/7000, Score: 189.0, Epsilon: 0.8518
Épisode 33/7000, Score: 231.0, Epsilon: 0.8475
Épisode 34/7000, Score: 294.0, Epsilon: 0.8433
Épisode 35/7000, Score: 294.0, Epsilon: 0.8391
Épisode 36/7000, Score: 189.0, Epsilon: 0.8349
Épisode 37/7000, Score: 168.0, Epsilon: 0.8307
Épisode 38/7000, Score: 168.0, Epsilon: 0.8266
Épisode 39/7000, Score: 168.0, Epsilon: 0.8224
Épisode 40/7000, Score: 399.0, Epsilon: 0.8183
Épisode 41/7000, Score: 105.0, Epsilon: 0.8142
Épisode 42/7000, Score: 252.0, Epsilon: 0.8102
Épisode 43/7000, Score: 252.0, Epsilon: 0.8061
Épisode 44/7000, Score: 294.0, Epsilon: 0.8021
Épisode 45/7000, Score: 189.0, Epsilon: 0.7981
Épisode 46/7000, Score: 231.0, Epsilon: 0.7941
Épisode 47/7000, Score: 252.0, Epsilon: 0.7901
Épisode 48/7000, Score: 357.0, Epsilon: 0.7862
Épisode 49/7000, Score: 210.0, Epsilon: 0.7822
Épisode 50/7000, Score: 189.0, Epsilon: 0.7783
Épisode 51/7000, Score: 252.0, Epsilon: 0.7744
Épisode 52/7000, Score: 210.0, Epsilon: 0.7705
Épisode 53/7000, Score: 126.0, Epsilon: 0.7667
Épisode 54/7000, Score: 252.0, Epsilon: 0.7629
Épisode 55/7000, Score: 231.0, Epsilon: 0.7590
Épisode 56/7000, Score: 378.0, Epsilon: 0.7553
Épisode 57/7000, Score: 189.0, Epsilon: 0.7515
Épisode 58/7000, Score: 189.0, Epsilon: 0.7477
Épisode 59/7000, Score: 231.0, Epsilon: 0.7440
Épisode 60/7000, Score: 126.0, Epsilon: 0.7403
Épisode 61/7000, Score: 273.0, Epsilon: 0.7366
Épisode 62/7000, Score: 252.0, Epsilon: 0.7329
Épisode 63/7000, Score: 147.0, Epsilon: 0.7292
Épisode 64/7000, Score: 294.0, Epsilon: 0.7256
Épisode 65/7000, Score: 147.0, Epsilon: 0.7219
Épisode 66/7000, Score: 189.0, Epsilon: 0.7183
Épisode 67/7000, Score: 147.0, Epsilon: 0.7147
Épisode 68/7000, Score: 252.0, Epsilon: 0.7112
Épisode 69/7000, Score: 231.0, Epsilon: 0.7076
Épisode 70/7000, Score: 168.0, Epsilon: 0.7041
Épisode 71/7000, Score: 315.0, Epsilon: 0.7005
Épisode 72/7000, Score: 399.0, Epsilon: 0.6970
Épisode 73/7000, Score: 231.0, Epsilon: 0.6936
Épisode 74/7000, Score: 168.0, Epsilon: 0.6901
Épisode 75/7000, Score: 273.0, Epsilon: 0.6866
Épisode 76/7000, Score: 210.0, Epsilon: 0.6832
Épisode 77/7000, Score: 126.0, Epsilon: 0.6798
Épisode 78/7000, Score: 147.0, Epsilon: 0.6764
Épisode 79/7000, Score: 294.0, Epsilon: 0.6730
Épisode 80/7000, Score: 294.0, Epsilon: 0.6696
Épisode 81/7000, Score: 168.0, Epsilon: 0.6663
Épisode 82/7000, Score: 357.0, Epsilon: 0.6630
Épisode 83/7000, Score: 189.0, Epsilon: 0.6597
Épisode 84/7000, Score: 378.0, Epsilon: 0.6564
Épisode 85/7000, Score: 294.0, Epsilon: 0.6531
Épisode 86/7000, Score: 189.0, Epsilon: 0.6498
Épisode 87/7000, Score: 126.0, Epsilon: 0.6466
Épisode 88/7000, Score: 189.0, Epsilon: 0.6433
Épisode 89/7000, Score: 357.0, Epsilon: 0.6401
Épisode 90/7000, Score: 315.0, Epsilon: 0.6369
Épisode 91/7000, Score: 189.0, Epsilon: 0.6337
Épisode 92/7000, Score: 189.0, Epsilon: 0.6306
Épisode 93/7000, Score: 315.0, Epsilon: 0.6274
Épisode 94/7000, Score: 189.0, Epsilon: 0.6243
Épisode 95/7000, Score: 84.0, Epsilon: 0.6211
Épisode 96/7000, Score: 210.0, Epsilon: 0.6180
Épisode 97/7000, Score: 189.0, Epsilon: 0.6149
Épisode 98/7000, Score: 399.0, Epsilon: 0.6119
Épisode 99/7000, Score: 336.0, Epsilon: 0.6088
Épisode 100/7000, Score: 315.0, Epsilon: 0.6058
Épisode 101/7000, Score: 336.0, Epsilon: 0.6027
Épisode 102/7000, Score: 231.0, Epsilon: 0.5997
Épisode 103/7000, Score: 189.0, Epsilon: 0.5967
Épisode 104/7000, Score: 273.0, Epsilon: 0.5937
Épisode 105/7000, Score: 294.0, Epsilon: 0.5908
Épisode 106/7000, Score: 378.0, Epsilon: 0.5878
Épisode 107/7000, Score: 252.0, Epsilon: 0.5849
Épisode 108/7000, Score: 315.0, Epsilon: 0.5820
Épisode 109/7000, Score: 189.0, Epsilon: 0.5790
Épisode 110/7000, Score: 210.0, Epsilon: 0.5762
Épisode 111/7000, Score: 273.0, Epsilon: 0.5733
Épisode 112/7000, Score: 399.0, Epsilon: 0.5704
Épisode 113/7000, Score: 315.0, Epsilon: 0.5676
Épisode 114/7000, Score: 273.0, Epsilon: 0.5647
Épisode 115/7000, Score: 252.0, Epsilon: 0.5619
Épisode 116/7000, Score: 63.0, Epsilon: 0.5591
Épisode 117/7000, Score: 189.0, Epsilon: 0.5563
Épisode 118/7000, Score: 189.0, Epsilon: 0.5535
Épisode 119/7000, Score: 189.0, Epsilon: 0.5507
Épisode 120/7000, Score: 252.0, Epsilon: 0.5480
Épisode 121/7000, Score: 231.0, Epsilon: 0.5452
Épisode 122/7000, Score: 294.0, Epsilon: 0.5425
Épisode 123/7000, Score: 210.0, Epsilon: 0.5398
Épisode 124/7000, Score: 336.0, Epsilon: 0.5371
Épisode 125/7000, Score: 126.0, Epsilon: 0.5344
Épisode 126/7000, Score: 357.0, Epsilon: 0.5318
Épisode 127/7000, Score: 273.0, Epsilon: 0.5291
Épisode 128/7000, Score: 147.0, Epsilon: 0.5264
Épisode 129/7000, Score: 189.0, Epsilon: 0.5238
Épisode 130/7000, Score: 336.0, Epsilon: 0.5212
Épisode 131/7000, Score: 189.0, Epsilon: 0.5186
Épisode 132/7000, Score: 252.0, Epsilon: 0.5160
Épisode 133/7000, Score: 84.0, Epsilon: 0.5134
Épisode 134/7000, Score: 210.0, Epsilon: 0.5108
Épisode 135/7000, Score: 315.0, Epsilon: 0.5083
Épisode 136/7000, Score: 231.0, Epsilon: 0.5058
Épisode 137/7000, Score: 189.0, Epsilon: 0.5032
Épisode 138/7000, Score: 336.0, Epsilon: 0.5007
Épisode 139/7000, Score: 483.0, Epsilon: 0.4982
Épisode 140/7000, Score: 168.0, Epsilon: 0.4957
Épisode 141/7000, Score: 252.0, Epsilon: 0.4932
Épisode 142/7000, Score: 420.0, Epsilon: 0.4908
Épisode 143/7000, Score: 273.0, Epsilon: 0.4883
Épisode 144/7000, Score: 273.0, Epsilon: 0.4859
