Episode1/2500Reward:168.0, Epsilon :0.995
Episode2/2500Reward:336.0, Epsilon :0.990025
Episode3/2500Reward:294.0, Epsilon :0.985074875
Episode4/2500Reward:315.0, Epsilon :0.9801495006250001
Episode5/2500Reward:168.0, Epsilon :0.9752487531218751
Episode6/2500Reward:378.0, Epsilon :0.9703725093562657
Episode7/2500Reward:294.0, Epsilon :0.9655206468094844
Episode8/2500Reward:294.0, Epsilon :0.960693043575437
Episode9/2500Reward:273.0, Epsilon :0.9558895783575597
Episode10/2500Reward:252.0, Epsilon :0.9511101304657719
Episode11/2500Reward:315.0, Epsilon :0.946354579813443
Episode12/2500Reward:126.0, Epsilon :0.9416228069143757
Episode13/2500Reward:294.0, Epsilon :0.9369146928798039
Episode14/2500Reward:315.0, Epsilon :0.9322301194154049
Episode15/2500Reward:189.0, Epsilon :0.9275689688183278
Episode16/2500Reward:273.0, Epsilon :0.9229311239742362
Episode17/2500Reward:273.0, Epsilon :0.918316468354365
Episode18/2500Reward:147.0, Epsilon :0.9137248860125932
Episode19/2500Reward:252.0, Epsilon :0.9091562615825302
Episode20/2500Reward:399.0, Epsilon :0.9046104802746175
Episode21/2500Reward:378.0, Epsilon :0.9000874278732445
Episode22/2500Reward:357.0, Epsilon :0.8955869907338783
Episode23/2500Reward:252.0, Epsilon :0.8911090557802088
Episode24/2500Reward:315.0, Epsilon :0.8866535105013078
Episode25/2500Reward:189.0, Epsilon :0.8822202429488013
Episode26/2500Reward:336.0, Epsilon :0.8778091417340573
Episode27/2500Reward:189.0, Epsilon :0.8734200960253871
Episode28/2500Reward:336.0, Epsilon :0.8690529955452602
Episode29/2500Reward:189.0, Epsilon :0.8647077305675338
Episode30/2500Reward:189.0, Epsilon :0.8603841919146962
Episode31/2500Reward:210.0, Epsilon :0.8560822709551227
Episode32/2500Reward:504.0, Epsilon :0.851801859600347
Episode33/2500Reward:168.0, Epsilon :0.8475428503023453
Episode34/2500Reward:357.0, Epsilon :0.8433051360508336
Episode35/2500Reward:252.0, Epsilon :0.8390886103705794
Episode36/2500Reward:441.0, Epsilon :0.8348931673187264
Episode37/2500Reward:273.0, Epsilon :0.8307187014821328
Episode38/2500Reward:336.0, Epsilon :0.8265651079747222
Episode39/2500Reward:231.0, Epsilon :0.8224322824348486
Episode40/2500Reward:294.0, Epsilon :0.8183201210226743
Episode41/2500Reward:336.0, Epsilon :0.8142285204175609
Episode42/2500Reward:168.0, Epsilon :0.810157377815473
Episode43/2500Reward:210.0, Epsilon :0.8061065909263957
Episode44/2500Reward:357.0, Epsilon :0.8020760579717637
Episode45/2500Reward:252.0, Epsilon :0.798065677681905
Episode46/2500Reward:189.0, Epsilon :0.7940753492934954
Episode47/2500Reward:315.0, Epsilon :0.7901049725470279
Episode48/2500Reward:399.0, Epsilon :0.7861544476842928
Episode49/2500Reward:399.0, Epsilon :0.7822236754458713
Episode50/2500Reward:168.0, Epsilon :0.778312557068642
Episode51/2500Reward:336.0, Epsilon :0.7744209942832988
Episode52/2500Reward:336.0, Epsilon :0.7705488893118823
Episode53/2500Reward:399.0, Epsilon :0.7666961448653229
Episode54/2500Reward:441.0, Epsilon :0.7628626641409962
Episode55/2500Reward:357.0, Epsilon :0.7590483508202912
Episode56/2500Reward:336.0, Epsilon :0.7552531090661897
Episode57/2500Reward:441.0, Epsilon :0.7514768435208588
Episode58/2500Reward:420.0, Epsilon :0.7477194593032545
Episode59/2500Reward:315.0, Epsilon :0.7439808620067382
Episode60/2500Reward:336.0, Epsilon :0.7402609576967045
Episode61/2500Reward:483.0, Epsilon :0.736559652908221
Episode62/2500Reward:336.0, Epsilon :0.7328768546436799
Episode63/2500Reward:336.0, Epsilon :0.7292124703704616
Episode64/2500Reward:525.0, Epsilon :0.7255664080186093
Episode65/2500Reward:504.0, Epsilon :0.7219385759785162
Episode66/2500Reward:420.0, Epsilon :0.7183288830986236
Episode67/2500Reward:546.0, Epsilon :0.7147372386831305
Episode68/2500Reward:378.0, Epsilon :0.7111635524897149
Episode69/2500Reward:252.0, Epsilon :0.7076077347272662
Episode70/2500Reward:588.0, Epsilon :0.7040696960536299
Episode71/2500Reward:357.0, Epsilon :0.7005493475733617
Episode72/2500Reward:399.0, Epsilon :0.697046600835495
Episode73/2500Reward:630.0, Epsilon :0.6935613678313175
Episode74/2500Reward:252.0, Epsilon :0.6900935609921609
Episode75/2500Reward:357.0, Epsilon :0.6866430931872001
