Épisode 1/5000, Score: 252.0, Epsilon: 0.9950
Épisode 2/5000, Score: 231.0, Epsilon: 0.9900
Épisode 3/5000, Score: 252.0, Epsilon: 0.9851
Épisode 4/5000, Score: 189.0, Epsilon: 0.9801
Épisode 5/5000, Score: 189.0, Epsilon: 0.9752
Épisode 6/5000, Score: 189.0, Epsilon: 0.9704
Épisode 7/5000, Score: 189.0, Epsilon: 0.9655
Épisode 8/5000, Score: 105.0, Epsilon: 0.9607
Épisode 9/5000, Score: 168.0, Epsilon: 0.9559
Épisode 10/5000, Score: 336.0, Epsilon: 0.9511
Épisode 11/5000, Score: 147.0, Epsilon: 0.9464
Épisode 12/5000, Score: 399.0, Epsilon: 0.9416
Épisode 13/5000, Score: 147.0, Epsilon: 0.9369
Épisode 14/5000, Score: 189.0, Epsilon: 0.9322
Épisode 15/5000, Score: 210.0, Epsilon: 0.9276
Épisode 16/5000, Score: 315.0, Epsilon: 0.9229
Épisode 17/5000, Score: 189.0, Epsilon: 0.9183
Épisode 18/5000, Score: 147.0, Epsilon: 0.9137
Épisode 19/5000, Score: 168.0, Epsilon: 0.9092
Épisode 20/5000, Score: 315.0, Epsilon: 0.9046
Épisode 21/5000, Score: 126.0, Epsilon: 0.9001
Épisode 22/5000, Score: 357.0, Epsilon: 0.8956
Épisode 23/5000, Score: 315.0, Epsilon: 0.8911
Épisode 24/5000, Score: 294.0, Epsilon: 0.8867
Épisode 25/5000, Score: 336.0, Epsilon: 0.8822
Épisode 26/5000, Score: 210.0, Epsilon: 0.8778
Épisode 27/5000, Score: 189.0, Epsilon: 0.8734
Épisode 28/5000, Score: 357.0, Epsilon: 0.8691
Épisode 29/5000, Score: 189.0, Epsilon: 0.8647
Épisode 30/5000, Score: 189.0, Epsilon: 0.8604
Épisode 31/5000, Score: 378.0, Epsilon: 0.8561
Épisode 32/5000, Score: 315.0, Epsilon: 0.8518
Épisode 33/5000, Score: 231.0, Epsilon: 0.8475
Épisode 34/5000, Score: 399.0, Epsilon: 0.8433
Épisode 35/5000, Score: 231.0, Epsilon: 0.8391
Épisode 36/5000, Score: 294.0, Epsilon: 0.8349
Épisode 37/5000, Score: 273.0, Epsilon: 0.8307
Épisode 38/5000, Score: 147.0, Epsilon: 0.8266
Épisode 39/5000, Score: 252.0, Epsilon: 0.8224
Épisode 40/5000, Score: 168.0, Epsilon: 0.8183
Épisode 41/5000, Score: 189.0, Epsilon: 0.8142
Épisode 42/5000, Score: 252.0, Epsilon: 0.8102
Épisode 43/5000, Score: 168.0, Epsilon: 0.8061
Épisode 44/5000, Score: 147.0, Epsilon: 0.8021
Épisode 45/5000, Score: 336.0, Epsilon: 0.7981
Épisode 46/5000, Score: 231.0, Epsilon: 0.7941
Épisode 47/5000, Score: 210.0, Epsilon: 0.7901
Épisode 48/5000, Score: 189.0, Epsilon: 0.7862
Épisode 49/5000, Score: 357.0, Epsilon: 0.7822
Épisode 50/5000, Score: 210.0, Epsilon: 0.7783
Épisode 51/5000, Score: 189.0, Epsilon: 0.7744
Épisode 52/5000, Score: 231.0, Epsilon: 0.7705
Épisode 53/5000, Score: 252.0, Epsilon: 0.7667
Épisode 54/5000, Score: 189.0, Epsilon: 0.7629
Épisode 55/5000, Score: 294.0, Epsilon: 0.7590
Épisode 56/5000, Score: 315.0, Epsilon: 0.7553
Épisode 57/5000, Score: 84.0, Epsilon: 0.7515
Épisode 58/5000, Score: 189.0, Epsilon: 0.7477
Épisode 59/5000, Score: 336.0, Epsilon: 0.7440
Épisode 60/5000, Score: 399.0, Epsilon: 0.7403
Épisode 61/5000, Score: 168.0, Epsilon: 0.7366
Épisode 62/5000, Score: 63.0, Epsilon: 0.7329
Épisode 63/5000, Score: 252.0, Epsilon: 0.7292
Épisode 64/5000, Score: 147.0, Epsilon: 0.7256
Épisode 65/5000, Score: 168.0, Epsilon: 0.7219
Épisode 66/5000, Score: 399.0, Epsilon: 0.7183
Épisode 67/5000, Score: 168.0, Epsilon: 0.7147
Épisode 68/5000, Score: 210.0, Epsilon: 0.7112
Épisode 69/5000, Score: 189.0, Epsilon: 0.7076
Épisode 70/5000, Score: 399.0, Epsilon: 0.7041
Épisode 71/5000, Score: 210.0, Epsilon: 0.7005
Épisode 72/5000, Score: 231.0, Epsilon: 0.6970
Épisode 73/5000, Score: 210.0, Epsilon: 0.6936
Épisode 74/5000, Score: 189.0, Epsilon: 0.6901
Épisode 75/5000, Score: 189.0, Epsilon: 0.6866
Épisode 76/5000, Score: 294.0, Epsilon: 0.6832
Épisode 77/5000, Score: 168.0, Epsilon: 0.6798
Épisode 78/5000, Score: 168.0, Epsilon: 0.6764
Épisode 79/5000, Score: 147.0, Epsilon: 0.6730
Épisode 80/5000, Score: 273.0, Epsilon: 0.6696
Épisode 81/5000, Score: 399.0, Epsilon: 0.6663
Épisode 82/5000, Score: 147.0, Epsilon: 0.6630
Épisode 83/5000, Score: 336.0, Epsilon: 0.6597
Épisode 84/5000, Score: 189.0, Epsilon: 0.6564
Épisode 85/5000, Score: 315.0, Epsilon: 0.6531
Épisode 86/5000, Score: 210.0, Epsilon: 0.6498
Épisode 87/5000, Score: 126.0, Epsilon: 0.6466
Épisode 88/5000, Score: 252.0, Epsilon: 0.6433
Épisode 89/5000, Score: 273.0, Epsilon: 0.6401
Épisode 90/5000, Score: 315.0, Epsilon: 0.6369
Épisode 91/5000, Score: 189.0, Epsilon: 0.6337
Épisode 92/5000, Score: 357.0, Epsilon: 0.6306
Épisode 93/5000, Score: 273.0, Epsilon: 0.6274
Épisode 94/5000, Score: 294.0, Epsilon: 0.6243
Épisode 95/5000, Score: 294.0, Epsilon: 0.6211
Épisode 96/5000, Score: 315.0, Epsilon: 0.6180
Épisode 97/5000, Score: 210.0, Epsilon: 0.6149
Épisode 98/5000, Score: 483.0, Epsilon: 0.6119
Épisode 99/5000, Score: 252.0, Epsilon: 0.6088
Épisode 100/5000, Score: 273.0, Epsilon: 0.6058
Épisode 101/5000, Score: 273.0, Epsilon: 0.6027
Épisode 102/5000, Score: 189.0, Epsilon: 0.5997
Épisode 103/5000, Score: 336.0, Epsilon: 0.5967
Épisode 104/5000, Score: 315.0, Epsilon: 0.5937
Épisode 105/5000, Score: 273.0, Epsilon: 0.5908
Épisode 106/5000, Score: 147.0, Epsilon: 0.5878
Épisode 107/5000, Score: 189.0, Epsilon: 0.5849
Épisode 108/5000, Score: 210.0, Epsilon: 0.5820
Épisode 109/5000, Score: 273.0, Epsilon: 0.5790
Épisode 110/5000, Score: 231.0, Epsilon: 0.5762
Épisode 111/5000, Score: 210.0, Epsilon: 0.5733
Épisode 112/5000, Score: 420.0, Epsilon: 0.5704
Épisode 113/5000, Score: 252.0, Epsilon: 0.5676
Épisode 114/5000, Score: 189.0, Epsilon: 0.5647
Épisode 115/5000, Score: 294.0, Epsilon: 0.5619
Épisode 116/5000, Score: 168.0, Epsilon: 0.5591
Épisode 117/5000, Score: 168.0, Epsilon: 0.5563
Épisode 118/5000, Score: 231.0, Epsilon: 0.5535
Épisode 119/5000, Score: 315.0, Epsilon: 0.5507
Épisode 120/5000, Score: 378.0, Epsilon: 0.5480
Épisode 121/5000, Score: 336.0, Epsilon: 0.5452
Épisode 122/5000, Score: 168.0, Epsilon: 0.5425
Épisode 123/5000, Score: 210.0, Epsilon: 0.5398
Épisode 124/5000, Score: 147.0, Epsilon: 0.5371
Épisode 125/5000, Score: 315.0, Epsilon: 0.5344
Épisode 126/5000, Score: 189.0, Epsilon: 0.5318
Épisode 127/5000, Score: 210.0, Epsilon: 0.5291
Épisode 128/5000, Score: 273.0, Epsilon: 0.5264
Épisode 129/5000, Score: 231.0, Epsilon: 0.5238
Épisode 130/5000, Score: 105.0, Epsilon: 0.5212
Épisode 131/5000, Score: 189.0, Epsilon: 0.5186
Épisode 132/5000, Score: 252.0, Epsilon: 0.5160
Épisode 133/5000, Score: 147.0, Epsilon: 0.5134
Épisode 134/5000, Score: 189.0, Epsilon: 0.5108
Épisode 135/5000, Score: 336.0, Epsilon: 0.5083
Épisode 136/5000, Score: 357.0, Epsilon: 0.5058
Épisode 137/5000, Score: 168.0, Epsilon: 0.5032
Épisode 138/5000, Score: 189.0, Epsilon: 0.5007
