Épisode 1/2200, Score: 189.0, Epsilon: 0.9950
Épisode 2/2200, Score: 252.0, Epsilon: 0.9900
Épisode 3/2200, Score: 315.0, Epsilon: 0.9851
Épisode 4/2200, Score: 462.0, Epsilon: 0.9801
Épisode 5/2200, Score: 168.0, Epsilon: 0.9752
Épisode 6/2200, Score: 231.0, Epsilon: 0.9704
Épisode 7/2200, Score: 273.0, Epsilon: 0.9655
Épisode 8/2200, Score: 189.0, Epsilon: 0.9607
Épisode 9/2200, Score: 231.0, Epsilon: 0.9559
Épisode 10/2200, Score: 252.0, Epsilon: 0.9511
Épisode 11/2200, Score: 315.0, Epsilon: 0.9464
Épisode 12/2200, Score: 252.0, Epsilon: 0.9416
Épisode 13/2200, Score: 189.0, Epsilon: 0.9369
Épisode 14/2200, Score: 189.0, Epsilon: 0.9322
Épisode 15/2200, Score: 126.0, Epsilon: 0.9276
Épisode 16/2200, Score: 168.0, Epsilon: 0.9229
Épisode 17/2200, Score: 168.0, Epsilon: 0.9183
Épisode 18/2200, Score: 168.0, Epsilon: 0.9137
Épisode 19/2200, Score: 357.0, Epsilon: 0.9092
Épisode 20/2200, Score: 273.0, Epsilon: 0.9046
Épisode 21/2200, Score: 252.0, Epsilon: 0.9001
Épisode 22/2200, Score: 294.0, Epsilon: 0.8956
Épisode 23/2200, Score: 231.0, Epsilon: 0.8911
Épisode 24/2200, Score: 273.0, Epsilon: 0.8867
Épisode 25/2200, Score: 126.0, Epsilon: 0.8822
Épisode 26/2200, Score: 189.0, Epsilon: 0.8778
Épisode 27/2200, Score: 315.0, Epsilon: 0.8734
Épisode 28/2200, Score: 273.0, Epsilon: 0.8691
Épisode 29/2200, Score: 189.0, Epsilon: 0.8647
Épisode 30/2200, Score: 210.0, Epsilon: 0.8604
Épisode 31/2200, Score: 189.0, Epsilon: 0.8561
Épisode 32/2200, Score: 252.0, Epsilon: 0.8518
Épisode 33/2200, Score: 273.0, Epsilon: 0.8475
Épisode 34/2200, Score: 252.0, Epsilon: 0.8433
Épisode 35/2200, Score: 210.0, Epsilon: 0.8391
Épisode 36/2200, Score: 189.0, Epsilon: 0.8349
Épisode 37/2200, Score: 252.0, Epsilon: 0.8307
Épisode 38/2200, Score: 189.0, Epsilon: 0.8266
Épisode 39/2200, Score: 231.0, Epsilon: 0.8224
Épisode 40/2200, Score: 252.0, Epsilon: 0.8183
Épisode 41/2200, Score: 399.0, Epsilon: 0.8142
Épisode 42/2200, Score: 315.0, Epsilon: 0.8102
Épisode 43/2200, Score: 273.0, Epsilon: 0.8061
Épisode 44/2200, Score: 168.0, Epsilon: 0.8021
Épisode 45/2200, Score: 189.0, Epsilon: 0.7981
